Day,Hour,Minute,DHI,DNI,WS,RH,T,TARGET
0,0,0,0,0,1.5,69.08,-12,0.0
0,0,30,0,0,1.5,69.06,-12,0.0
0,1,0,0,0,1.6,71.78,-12,0.0
0,1,30,0,0,1.6,71.75,-12,0.0
0,2,0,0,0,1.6,75.2,-12,0.0
0,2,30,0,0,1.5,69.29,-11,0.0
0,3,0,0,0,1.5,72.56,-11,0.0
0,3,30,0,0,1.4,72.55,-11,0.0
0,4,0,0,0,1.3,74.62,-11,0.0
0,4,30,0,0,1.3,74.61,-11,0.0
0,5,0,0,0,1.3,73.74,-11,0.0
0,5,30,0,0,1.3,73.73,-11,0.0
0,6,0,0,0,1.4,72.22,-12,0.0
0,6,30,0,0,1.4,72.22,-12,0.0
0,7,0,0,0,1.4,70.27,-12,0.0
0,7,30,0,0,1.6,64.83,-10,0.0
0,8,0,29,494,1.8,65.45,-9,7.039286991
0,8,30,61,7,1.9,55.9,-7,5.912871119
0,9,0,58,743,2.1,57.39,-6,22.33726765
0,9,30,67,811,1.9,53.15,-4,29.46952894
0,10,0,138,368,1.8,55.99,-3,25.33976234
0,10,30,178,224,1.9,55.97,-3,25.1520604
0,11,0,193,261,2.0,58.43,-3,28.71839732
0,11,30,189,364,2.3,58.41,-3,33.12939298
0,12,0,190,37,2.6,59.19,-3,19.42715113
0,12,30,213,133,2.9,59.18,-3,25.71516623
0,13,0,211,114,3.2,63.27,-4,24.58922479
0,13,30,185,101,3.1,63.27,-4,21.30440468
0,14,0,124,2,3.0,62.84,-4,11.73150038
0,14,30,135,69,2.7,62.85,-4,14.73476447
0,15,0,62,0,2.5,68.55,-5,5.8188881310000005
0,15,30,73,39,2.2,68.55,-5,7.602095783999999
0,16,0,41,11,2.0,70.27,-6,4.035724827
0,16,30,10,0,2.0,70.28,-6,0.938540658
0,17,0,0,0,2.0,71.33,-7,0.0
0,17,30,0,0,2.0,71.35,-7,0.0
0,18,0,0,0,2.1,76.43,-8,0.0
0,18,30,0,0,2.2,76.44,-8,0.0
0,19,0,0,0,2.3,76.72,-8,0.0
0,19,30,0,0,2.2,76.72,-8,0.0
0,20,0,0,0,2.2,77.51,-8,0.0
0,20,30,0,0,2.0,77.51,-8,0.0
0,21,0,0,0,1.9,83.46,-9,0.0
0,21,30,0,0,1.8,83.46,-9,0.0
0,22,0,0,0,1.8,83.36,-9,0.0
0,22,30,0,0,1.7,83.36,-9,0.0
0,23,0,0,0,1.7,90.86,-10,0.0
0,23,30,0,0,1.6,90.85,-10,0.0
1,0,0,0,0,1.6,90.66,-10,0.0
1,0,30,0,0,1.6,90.68,-10,0.0
1,1,0,0,0,1.6,88.11,-11,0.0
1,1,30,0,0,1.6,88.11,-11,0.0
1,2,0,0,0,1.6,90.85,-11,0.0
1,2,30,0,0,1.6,90.84,-11,0.0
1,3,0,0,0,1.7,93.78,-12,0.0
1,3,30,0,0,1.7,93.77,-12,0.0
1,4,0,0,0,1.7,90.46,-12,0.0
1,4,30,0,0,1.6,90.46,-12,0.0
1,5,0,0,0,1.6,87.34,-12,0.0
1,5,30,0,0,1.6,87.34,-12,0.0
1,6,0,0,0,1.7,84.96,-12,0.0
1,6,30,0,0,1.7,84.96,-12,0.0
1,7,0,0,0,1.8,83.2,-12,0.0
1,7,30,0,0,2.0,70.75,-10,0.0
1,8,0,27,519,2.3,73.26,-9,7.133144151000001
1,8,30,41,690,2.8,57.87,-6,14.92279645
1,9,0,49,799,3.3,66.23,-4,22.80603673
1,9,30,23,0,3.0,56.92,-2,2.158548626
1,10,0,60,910,2.7,57.91,-1,36.22567883
1,10,30,64,938,2.4,53.78,0,41.38691398
1,11,0,66,961,2.1,59.87,0,45.14082908
1,11,30,67,972,1.9,55.63,0,47.58087389
1,12,0,67,980,1.7,58.88,1,48.61266629
1,12,30,66,978,1.5,58.86,1,48.14343206
1,13,0,64,972,1.4,60.68,2,46.17214086
1,13,30,62,958,1.2,60.66,1,42.79416183
1,14,0,57,936,1.2,61.34,1,38.19566637
1,14,30,53,902,0.9,61.33,0,32.28366986
1,15,0,46,852,0.6,72.29,0,25.4327748
1,15,30,39,772,0.5,77.79,-1,17.73744378
1,16,0,28,641,0.5,68.91,-2,9.854243726
1,16,30,14,389,0.4,74.29,-3,2.627827206
1,17,0,0,0,0.4,67.81,-4,0.0
1,17,30,0,0,0.8,73.2,-5,0.0
1,18,0,0,0,1.3,73.62,-6,0.0
1,18,30,0,0,1.5,73.6,-6,0.0
1,19,0,0,0,1.8,74.97,-7,0.0
1,19,30,0,0,2.0,74.95,-7,0.0
1,20,0,0,0,2.2,71.27,-8,0.0
1,20,30,0,0,2.2,71.26,-8,0.0
1,21,0,0,0,2.2,74.5,-8,0.0
1,21,30,0,0,2.2,74.5,-8,0.0
1,22,0,0,0,2.2,72.83,-8,0.0
1,22,30,0,0,2.2,72.82,-8,0.0
1,23,0,0,0,2.2,72.51,-8,0.0
1,23,30,0,0,2.2,72.49,-8,0.0
2,0,0,0,0,2.2,73.8,-8,0.0
2,0,30,0,0,2.1,68.2,-8,0.0
2,1,0,0,0,2.1,69.06,-8,0.0
2,1,30,0,0,2.1,69.04,-8,0.0
2,2,0,0,0,2.2,69.38,-8,0.0
2,2,30,0,0,2.2,69.36,-7,0.0
2,3,0,0,0,2.2,70.03,-7,0.0
2,3,30,0,0,2.2,70.02,-7,0.0
2,4,0,0,0,2.3,72.18,-7,0.0
2,4,30,0,0,2.4,66.78,-7,0.0
2,5,0,0,0,2.5,68.32,-7,0.0
2,5,30,0,0,2.5,68.32,-7,0.0
2,6,0,0,0,2.6,69.68,-7,0.0
2,6,30,0,0,2.6,69.69,-6,0.0
2,7,0,0,0,2.6,74.08,-6,0.0
2,7,30,0,0,2.4,63.54,-4,0.0
2,8,0,8,0,2.2,72.05,-3,0.750807773
2,8,30,18,0,2.0,66.85,-2,1.689298925
2,9,0,55,0,1.8,72.81,-1,5.161689988
2,9,30,53,0,2.0,67.63,-1,4.97399217
2,10,0,153,65,2.2,72.03,-1,16.51740796
2,10,30,104,0,2.6,72.02,0,9.76017926
2,11,0,81,0,3.1,75.29,0,7.601678078
2,11,30,117,0,3.5,75.28,0,10.98020167
2,12,0,176,20,3.9,75.99,0,17.36185734
2,12,30,52,0,4.3,76.01,0,4.88008963
2,13,0,141,3,4.7,79.12,-1,13.32654506
2,13,30,101,0,5.0,79.17,-1,9.478739796000001
2,14,0,48,0,5.3,78.49,-2,4.504797132
2,14,30,28,0,5.1,84.71,-3,2.627827206
2,15,0,110,157,5.1,80.48,-4,14.26550446
2,15,30,71,535,4.4,86.96,-5,16.61198708
2,16,0,47,403,3.7,79.93,-7,9.010089323999999
2,16,30,26,0,3.1,86.46,-8,2.440259341
2,17,0,0,0,2.6,80.46,-9,0.0
2,17,30,0,0,2.3,87.15,-9,0.0
2,18,0,0,0,2.0,85.23,-10,0.0
2,18,30,0,0,1.7,85.26,-10,0.0
2,19,0,0,0,1.5,85.29,-11,0.0
2,19,30,0,0,1.2,85.3,-11,0.0
2,20,0,0,0,0.9,86.81,-12,0.0
2,20,30,0,0,0.7,86.81,-12,0.0
2,21,0,0,0,0.5,82.9,-12,0.0
2,21,30,0,0,0.4,82.89,-12,0.0
2,22,0,0,0,0.4,79.09,-13,0.0
2,22,30,0,0,0.7,79.08,-13,0.0
2,23,0,0,0,1.1,81.09,-13,0.0
2,23,30,0,0,1.4,81.08,-13,0.0
3,0,0,0,0,1.8,77.76,-14,0.0
3,0,30,0,0,2.0,77.77,-13,0.0
3,1,0,0,0,2.2,77.69,-13,0.0
3,1,30,0,0,2.2,71.57,-13,0.0
3,2,0,0,0,2.2,72.62,-13,0.0
3,2,30,0,0,2.2,72.61,-12,0.0
3,3,0,0,0,2.2,73.02,-12,0.0
3,3,30,0,0,2.2,73.01,-12,0.0
3,4,0,0,0,2.3,72.77,-12,0.0
